Name,Constitutional form,Head of state,Basis of executive legitimacy
Afghanistan,Republic,Executive,Presidency is independent of legislature
Albania,Republic,Ceremonial,Ministry is subject to parliamentary confidence
Algeria,Republic,Executive,Presidency independent of legislature; ministry is subject to parliamentary confidence
Andorra,Constitutionalmonarchy,Ceremonial,Ministry is subject to parliamentary confidence
Angola,Republic,Executive,Presidency is independent of legislature
Antigua and Barbuda,Constitutionalmonarchy,Ceremonial,Ministry is subject to parliamentary confidence
Argentina,Republic,Executive,Presidency is independent of legislature
Armenia,Republic,Ceremonial,Ministry is subject to parliamentary confidence
Australia,Constitutionalmonarchy,Ceremonial,Ministry is subject to parliamentary confidence
Austria,Republic,Ceremonial,Ministry is subject to parliamentary confidence
Azerbaijan,Republic,Executive,Presidency independent of legislature; ministry is subject to parliamentary confidence
"Bahamas, The",Constitutionalmonarchy,Ceremonial,Ministry is subject to parliamentary confidence
Bahrain,Constitutionalmonarchy,Executive,Monarch personally exercises power in concert with other institutions
Bangladesh,Republic,Ceremonial,Ministry is subject to parliamentary confidence
Barbados,Constitutionalmonarchy,Ceremonial,Ministry is subject to parliamentary confidence
Belarus,Republic,Executive,Presidency is independent of legislature
Belgium,Constitutionalmonarchy,Ceremonial,Ministry is subject to parliamentary confidence
Belize,Constitutionalmonarchy,Ceremonial,Ministry is subject to parliamentary confidence
Benin,Republic,Executive,Presidency is independent of legislature
Bhutan,Constitutionalmonarchy,Executive,Monarch personally exercises power in concert with other institutions
Bolivia,Republic,Executive,Presidency is independent of legislature
Bosnia and Herzegovina,Republic,Ceremonial,Ministry is subject to parliamentary confidence
Botswana,Republic,Executive,"Presidency is elected by legislature; ministry may be, or not be, subject to parliamentary confidence"
Brazil,Republic,Executive,Presidency is independent of legislature
Brunei,Absolute monarchy,Executive,All authority vested in absolute monarch
Bulgaria,Republic,Ceremonial,Ministry is subject to parliamentary confidence
Burkina Faso,Republic,Executive,Presidency independent of legislature; ministry is subject to parliamentary confidence
Burundi,Republic,Executive,Presidency is independent of legislature
Cambodia,Constitutionalmonarchy,Ceremonial,Ministry is subject to parliamentary confidence
Cameroon,Republic,Executive,Presidency is independent of legislature
Canada,Constitutionalmonarchy,Ceremonial,Ministry is subject to parliamentary confidence
Cape Verde,Republic,Executive,Presidency independent of legislature; ministry is subject to parliamentary confidence
Central African Republic,Republic,Executive,Presidency is independent of legislature
Chad,Provisional,NONE,No constitutionally-defined basis to current regime
Chile,Republic,Executive,Presidency is independent of legislature
"China, People's Republic of",Republic,Ceremonial,Power constitutionally linked to a single political movement
Colombia,Republic,Executive,Presidency is independent of legislature
Comoros,Republic,Executive,Presidency is independent of legislature
"Congo, Democratic Republic of the",Republic,Executive,Presidency independent of legislature; ministry is subject to parliamentary confidence
"Congo, Republic of the",Republic,Executive,Presidency independent of legislature; ministry is subject to parliamentary confidence
Costa Rica,Republic,Executive,Presidency is independent of legislature
Côte d'Ivoire,Republic,Executive,Presidency is independent of legislature
Croatia,Republic,Ceremonial,Ministry is subject to parliamentary confidence
Cuba,Republic,Executive,Power constitutionally linked to a single political movement
Cyprus,Republic,Executive,Presidency is independent of legislature
Czech Republic,Republic,Ceremonial,Ministry is subject to parliamentary confidence
Denmark,Constitutionalmonarchy,Ceremonial,Ministry is subject to parliamentary confidence
Djibouti,Republic,Executive,Presidency is independent of legislature
Dominica,Republic,Ceremonial,Ministry is subject to parliamentary confidence
Dominican Republic,Republic,Executive,Presidency is independent of legislature
East Timor,Republic,Executive,Presidency independent of legislature; ministry is subject to parliamentary confidence
Ecuador,Republic,Executive,Presidency is independent of legislature
Egypt,Republic,Executive,Presidency independent of legislature; ministry is subject to parliamentary confidence
El Salvador,Republic,Executive,Presidency is independent of legislature
Equatorial Guinea,Republic,Executive,Presidency is independent of legislature
Eritrea,Republic,Executive,Power constitutionally linked to a single political movement
Estonia,Republic,Ceremonial,Ministry is subject to parliamentary confidence
Eswatini,Absolute monarchy,Executive,All authority vested in absolute monarch
Ethiopia,Republic,Ceremonial,Ministry is subject to parliamentary confidence
Federated States of Micronesia,Republic,Executive,"Presidency is elected by legislature; ministry may be, or not be, subject to parliamentary confidence"
Fiji,Republic,Ceremonial,Ministry is subject to parliamentary confidence
Finland,Republic,Ceremonial,Ministry is subject to parliamentary confidence
France,Republic,Executive,Presidency independent of legislature; ministry is subject to parliamentary confidence
Gabon,Republic,Executive,Presidency is independent of legislature
"Gambia, The",Republic,Executive,Presidency is independent of legislature
Georgia,Republic,Ceremonial,Ministry is subject to parliamentary confidence
Germany,Republic,Ceremonial,Ministry is subject to parliamentary confidence
Ghana,Republic,Executive,Presidency is independent of legislature
Greece,Republic,Ceremonial,Ministry is subject to parliamentary confidence
Grenada,Constitutionalmonarchy,Ceremonial,Ministry is subject to parliamentary confidence
Guatemala,Republic,Executive,Presidency is independent of legislature
Guinea,Republic,Executive,Presidency is independent of legislature
Guinea-Bissau,Republic,Executive,Presidency independent of legislature; ministry is subject to parliamentary confidence
Guyana,Republic,Executive,Presidency is independent of legislature
Haiti,Republic,Executive,Presidency independent of legislature; ministry is subject to parliamentary confidence
Honduras,Republic,Executive,Presidency is independent of legislature
Hungary,Republic,Ceremonial,Ministry is subject to parliamentary confidence
Iceland,Republic,Ceremonial,Ministry is subject to parliamentary confidence
India,Republic,Ceremonial,Ministry is subject to parliamentary confidence
Indonesia,Republic,Executive,Presidency is independent of legislature
Iran,Republic,Executive,Presidency is independent of legislature
Iraq,Republic,Ceremonial,Ministry is subject to parliamentary confidence
Ireland,Republic,Ceremonial,Ministry is subject to parliamentary confidence
Israel,Republic,Ceremonial,Ministry is subject to parliamentary confidence
Italy,Republic,Ceremonial,Ministry is subject to parliamentary confidence
Jamaica,Constitutionalmonarchy,Ceremonial,Ministry is subject to parliamentary confidence
Japan,Constitutionalmonarchy,Ceremonial,Ministry is subject to parliamentary confidence
Jordan,Constitutionalmonarchy,Executive,Monarch personally exercises power in concert with other institutions
Kazakhstan,Republic,Executive,Presidency is independent of legislature
Kenya,Republic,Executive,Presidency is independent of legislature
Kiribati,Republic,Executive,"Presidency is elected by legislature; ministry may be, or not be, subject to parliamentary confidence"
"Korea, North",Republic,Executive,Power constitutionally linked to a single political movement
"Korea, South",Republic,Executive,Presidency is independent of legislature
Kuwait,Constitutionalmonarchy,Executive,Monarch personally exercises power in concert with other institutions
Kyrgyzstan,Republic,Executive,Presidency is independent of legislature
Laos,Republic,Executive,Power constitutionally linked to a single political movement
Latvia,Republic,Ceremonial,Ministry is subject to parliamentary confidence
Lebanon,Republic,Ceremonial,Ministry is subject to parliamentary confidence
Lesotho,Constitutionalmonarchy,Ceremonial,Ministry is subject to parliamentary confidence
Liberia,Republic,Executive,Presidency is independent of legislature
Libya,Provisional,NONE,No constitutionally-defined basis to current regime
Liechtenstein,Constitutionalmonarchy,Executive,Monarch personally exercises power in concert with other institutions
Lithuania,Republic,Executive,Presidency independent of legislature; ministry is subject to parliamentary confidence
Luxembourg,Constitutionalmonarchy,Ceremonial,Ministry is subject to parliamentary confidence
Madagascar,Republic,Executive,Presidency independent of legislature; ministry is subject to parliamentary confidence
Malawi,Republic,Executive,Presidency is independent of legislature
Malaysia,Constitutionalmonarchy,Ceremonial,Ministry is subject to parliamentary confidence
Maldives,Republic,Executive,Presidency is independent of legislature
Mali,Provisional,NONE,No constitutionally-defined basis to current regime
Malta,Republic,Ceremonial,Ministry is subject to parliamentary confidence
Marshall Islands,Republic,Executive,"Presidency is elected by legislature; ministry may be, or not be, subject to parliamentary confidence"
Mauritania,Republic,Executive,Presidency independent of legislature; ministry is subject to parliamentary confidence
Mauritius,Republic,Ceremonial,Ministry is subject to parliamentary confidence
Mexico,Republic,Executive,Presidency is independent of legislature
Moldova,Republic,Ceremonial,Ministry is subject to parliamentary confidence
Monaco,Constitutionalmonarchy,Executive,Monarch personally exercises power in concert with other institutions
Mongolia,Republic,Executive,Presidency independent of legislature; ministry is subject to parliamentary confidence
Montenegro,Republic,Ceremonial,Ministry is subject to parliamentary confidence
Morocco,Constitutionalmonarchy,Executive,Monarch personally exercises power in concert with other institutions
Mozambique,Republic,Executive,Presidency independent of legislature; ministry is subject to parliamentary confidence
Myanmar,Provisional,NONE,No constitutionally-defined basis to current regime
Namibia,Republic,Executive,Presidency independent of legislature; ministry is subject to parliamentary confidence
Nauru,Republic,Executive,"Presidency is elected by legislature; ministry may be, or not be, subject to parliamentary confidence"
Nepal,Republic,Ceremonial,Ministry is subject to parliamentary confidence
Netherlands,Constitutionalmonarchy,Ceremonial,Ministry is subject to parliamentary confidence
New Zealand,Constitutionalmonarchy,Ceremonial,Ministry is subject to parliamentary confidence
Nicaragua,Republic,Executive,Presidency is independent of legislature
Niger,Republic,Executive,Presidency independent of legislature; ministry is subject to parliamentary confidence
Nigeria,Republic,Executive,Presidency is independent of legislature
North Macedonia,Republic,Ceremonial,Ministry is subject to parliamentary confidence
Norway,Constitutionalmonarchy,Ceremonial,Ministry is subject to parliamentary confidence
Oman,Absolute monarchy,Executive,All authority vested in absolute monarch
Pakistan,Republic,Ceremonial,Ministry is subject to parliamentary confidence
Palau,Republic,Executive,Presidency is independent of legislature
Palestine,Republic,Executive,Presidency independent of legislature; ministry is subject to parliamentary confidence
Panama,Republic,Executive,Presidency is independent of legislature
Papua New Guinea,Constitutionalmonarchy,Ceremonial,Ministry is subject to parliamentary confidence
Paraguay,Republic,Executive,Presidency is independent of legislature
Peru,Republic,Executive,Presidency is independent of legislature
Philippines,Republic,Executive,Presidency is independent of legislature
Poland,Republic,Executive,Presidency independent of legislature; ministry is subject to parliamentary confidence
Portugal,Republic,Executive,Presidency independent of legislature; ministry is subject to parliamentary confidence
Qatar,Constitutionalmonarchy,Executive,Monarch personally exercises power in concert with other institutions
Romania,Republic,Executive,Presidency independent of legislature; ministry is subject to parliamentary confidence
Russia,Republic,Executive,Presidency independent of legislature; ministry is subject to parliamentary confidence
Rwanda,Republic,Executive,Presidency is independent of legislature
Saint Kitts and Nevis,Constitutionalmonarchy,Ceremonial,Ministry is subject to parliamentary confidence
Saint Lucia,Constitutionalmonarchy,Ceremonial,Ministry is subject to parliamentary confidence
Saint Vincent and the Grenadines,Constitutionalmonarchy,Ceremonial,Ministry is subject to parliamentary confidence
Samoa,Republic,Ceremonial,Ministry is subject to parliamentary confidence
San Marino,Republic,Executive,"Presidency is elected by legislature; ministry may be, or not be, subject to parliamentary confidence"
São Tomé and Príncipe,Republic,Executive,Presidency independent of legislature; ministry is subject to parliamentary confidence
Saudi Arabia,Absolute monarchy,Executive,All authority vested in absolute monarch
Senegal,Republic,Executive,Presidency is independent of legislature
Serbia,Republic,Ceremonial,Ministry is subject to parliamentary confidence
Seychelles,Republic,Executive,Presidency is independent of legislature
Sierra Leone,Republic,Executive,Presidency is independent of legislature
Singapore,Republic,Ceremonial,Ministry is subject to parliamentary confidence
Slovakia,Republic,Ceremonial,Ministry is subject to parliamentary confidence
Slovenia,Republic,Ceremonial,Ministry is subject to parliamentary confidence
Solomon Islands,Constitutionalmonarchy,Ceremonial,Ministry is subject to parliamentary confidence
Somalia,Republic,Ceremonial,Ministry is subject to parliamentary confidence
South Africa,Republic,Executive,"Presidency is elected by legislature; ministry may be, or not be, subject to parliamentary confidence"
South Sudan,Republic,Executive,Presidency is independent of legislature
Spain,Constitutionalmonarchy,Ceremonial,Ministry is subject to parliamentary confidence
Sri Lanka,Republic,Executive,Presidency independent of legislature; ministry is subject to parliamentary confidence
Sudan,Provisional,NONE,No constitutionally-defined basis to current regime
Suriname,Republic,Executive,"Presidency is elected by legislature; ministry may be, or not be, subject to parliamentary confidence"
Sweden,Constitutionalmonarchy,Ceremonial,Ministry is subject to parliamentary confidence
Switzerland,Republic,Executive,"Presidency is elected by legislature; ministry may be, or not be, subject to parliamentary confidence"
Syria,Republic,Executive,Presidency independent of legislature; ministry is subject to parliamentary confidence
Tajikistan,Republic,Executive,Presidency is independent of legislature
Tanzania,Republic,Executive,Presidency is independent of legislature
Thailand,Constitutionalmonarchy,Ceremonial,Ministry is subject to parliamentary confidence
Togo,Republic,Executive,Presidency is independent of legislature
Tonga,Constitutionalmonarchy,Executive,Monarch personally exercises power in concert with other institutions
Trinidad and Tobago,Republic,Ceremonial,Ministry is subject to parliamentary confidence
Tunisia,Republic,Executive,Presidency independent of legislature; ministry is subject to parliamentary confidence
Turkey,Republic,Executive,Presidency is independent of legislature
Turkmenistan,Republic,Executive,Presidency is independent of legislature
Tuvalu,Constitutionalmonarchy,Ceremonial,Ministry is subject to parliamentary confidence
Uganda,Republic,Executive,Presidency is independent of legislature
Ukraine,Republic,Executive,Presidency independent of legislature; ministry is subject to parliamentary confidence
United Arab Emirates,Constitutionalmonarchy,Executive,Monarch personally exercises power in concert with other institutions
United Kingdom,Constitutionalmonarchy,Ceremonial,Ministry is subject to parliamentary confidence
United States,Republic,Executive,Presidency is independent of legislature
Uruguay,Republic,Executive,Presidency is independent of legislature
Uzbekistan,Republic,Executive,Presidency independent of legislature; ministry is subject to parliamentary confidence
Vanuatu,Republic,Ceremonial,Ministry is subject to parliamentary confidence
Vatican City,Absolute monarchy,Executive,All authority vested in absolute monarch
Venezuela,Republic,Executive,Presidency is independent of legislature
Vietnam,Republic,Executive,Power constitutionally linked to a single political movement
Yemen,Provisional,NONE,No constitutionally-defined basis to current regime
Zambia,Republic,Executive,Presidency is independent of legislature
Zimbabwe,Republic,Executive,Presidency is independent of legislature
